"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
0.166666666666667, 7.22732301950816, 2.37387411170245, 7.22732301950816, 7.60719898034248, 0.0300462905942677, 0.00827980185183507, 0.0300462905942677
0.333333333333333, 5.23665919754027, 1.7220312611241, 7.22732301950816, 7.60719898034248, 0.00793148433903964, 0.00344389065746672, 0.0300462905942677
0.5, 6.74921845721527, 2.2194059219114, 7.22732301950816, 7.60719898034248, 0.0136416504062626, 0.00531386589300351, 0.0300462905942677
0.666666666666667, 6.5003171102298, 2.13737477997189, 7.22732301950816, 7.60719898034248, 0.0120381231221801, 0.00483776320396919, 0.0300462905942677
0.833333333333333, 7.13578330363449, 2.34639431820077, 7.22732301950816, 7.60719898034248, 0.0144022279370012, 0.00569347239326658, 0.0300462905942677
1, 9.0923702842985, 2.98974045700178, 9.0923702842985, 9.57129799907137, 0.0225697284694822, 0.00867258622370402, 0.0300462905942677
1.16666666666667, 6.80539336645933, 2.23742103980099, 9.0923702842985, 9.57129799907137, 0.0128973170985485, 0.0052277257038715, 0.0300462905942677
1.33333333333333, 7.41331521567766, 2.43794772333337, 9.0923702842985, 9.57129799907137, 0.0144555807435051, 0.00592918186611276, 0.0300462905942677
1.5, 8.10810479221697, 2.66625028442718, 9.0923702842985, 9.57129799907137, 0.0183340621140499, 0.00711144438065985, 0.0300462905942677
1.66666666666667, 7.45700652828414, 2.45101065338993, 9.0923702842985, 9.57129799907137, 0.0226916542318248, 0.00738864024627997, 0.0300462905942677
1.83333333333333, 5.73333945282457, 1.88548495876278, 9.0923702842985, 9.57129799907137, 0.00827093834623616, 0.00374971258163492, 0.0300462905942677
2, 5.59550888702039, 1.84006748320293, 9.0923702842985, 9.57129799907137, 0.00875551614377403, 0.00377357518450663, 0.0300462905942677
2.16666666666667, 6.24025850501342, 2.05209983548604, 9.0923702842985, 9.57129799907137, 0.0103686017915104, 0.00447135834711879, 0.0300462905942677
2.33333333333333, 6.42282041528748, 2.11208590580301, 9.0923702842985, 9.57129799907137, 0.0110183148929797, 0.00463420335953193, 0.0300462905942677
2.5, 7.51013276395747, 2.4696269469899, 9.0923702842985, 9.57129799907137, 0.014779390623944, 0.00606816718380928, 0.0300462905942677
2.66666666666667, 7.51464031984755, 2.47105678371612, 9.0923702842985, 9.57129799907137, 0.0156638904422901, 0.00619576242484739, 0.0300462905942677
2.83333333333333, 6.71006462431343, 2.20652100862923, 9.0923702842985, 9.57129799907137, 0.0118562147305158, 0.00502881997468243, 0.0300462905942677
3, 6.88266234778743, 2.26341693228096, 9.0923702842985, 9.57129799907137, 0.0122368336913886, 0.0051536418720472, 0.0300462905942677
3.16666666666667, 6.31866662519867, 2.07808732721083, 9.0923702842985, 9.57129799907137, 0.0107539334432518, 0.00458494178723917, 0.0300462905942677
3.33333333333333, 6.27216281262443, 2.06255514207074, 9.0923702842985, 9.57129799907137, 0.0110885413504753, 0.00467507488842256, 0.0300462905942677
3.5, 10.1223433604383, 3.32476290815373, 10.1223433604383, 10.6543832999402, 0.0499549101082032, 0.0140926239097215, 0.0499549101082032
3.66666666666667, 10.3135942874087, 3.38682125011108, 10.3135942874087, 10.8554495671747, 0.0544023605116885, 0.0150399146308203, 0.0544023605116885
3.83333333333333, 6.71773885016491, 2.20899019085907, 10.3135942874087, 10.8554495671747, 0.0126456076464603, 0.00518311572050917, 0.0544023605116885
4, 7.38218216508982, 2.42770359429477, 10.3135942874087, 10.8554495671747, 0.0138444562849651, 0.00582633642839361, 0.0544023605116885
4.16666666666667, 7.80284870283946, 2.56616744004132, 10.3135942874087, 10.8554495671747, 0.0151385885686104, 0.00629894075520765, 0.0544023605116885
4.33333333333333, 7.54333315605688, 2.48079564310411, 10.3135942874087, 10.8554495671747, 0.013521605653903, 0.00583270085214422, 0.0544023605116885
4.5, 6.28999078738722, 2.0683392835713, 10.3135942874087, 10.8554495671747, 0.0121292610908739, 0.00480592721679427, 0.0544023605116885
4.66666666666667, 7.22996047305524, 2.37737971878995, 10.3135942874087, 10.8554495671747, 0.0146821614921096, 0.00591404078981198, 0.0544023605116885
4.83333333333333, 6.49691360324375, 2.13632608967338, 10.3135942874087, 10.8554495671747, 0.0114290401222437, 0.00481331550896075, 0.0544023605116885
5, 7.235142519498, 2.37895552168339, 10.3135942874087, 10.8554495671747, 0.0151120450375671, 0.00593550514147113, 0.0544023605116885
5.16666666666667, 7.46959316556982, 2.45607054049862, 10.3135942874087, 10.8554495671747, 0.0163205220663142, 0.00628612273974845, 0.0544023605116885
5.33333333333333, 6.41440079663944, 2.10943082826664, 10.3135942874087, 10.8554495671747, 0.0110799920687474, 0.00465647115690235, 0.0544023605116885
5.5, 7.12753452702763, 2.3440982674804, 10.3135942874087, 10.8554495671747, 0.0136025957925632, 0.00554116733464825, 0.0544023605116885
5.66666666666667, 7.34498352133908, 2.41510569499248, 10.3135942874087, 10.8554495671747, 0.0165993681411336, 0.00619676098590717, 0.0544023605116885
5.83333333333333, 8.07409249250648, 2.65423279010907, 10.3135942874087, 10.8554495671747, 0.0235085316648531, 0.0080149743581889, 0.0544023605116885
6, 9.88728750247184, 3.24961119362881, 10.3135942874087, 10.8554495671747, 0.0356240517619101, 0.0116200210859551, 0.0544023605116885
6.16666666666667, 7.93429295485698, 2.60900131285321, 10.3135942874087, 10.8554495671747, 0.0170294047336348, 0.00675279803271841, 0.0544023605116885
